,gvkey_focal,year,gvkey1,gvkey2,score,gvkey_peer,focal_ticker,focal_company_name,focal_cik,focal_primary_sic,peer_ticker,peer_company_name
18984,002184,2010,2184,3813,0.0103,003813,BBY,Best Buy Co. Inc.,0000764478,5731,TGT,Target Corp.
18985,002184,2010,2184,4016,0.0309,004016,BBY,Best Buy Co. Inc.,0000764478,5731,DG,Dollar General Corp.
18986,002184,2010,2184,5680,0.0026,005680,BBY,Best Buy Co. Inc.,0000764478,5731,HD,Home Depot Inc.
18997,002184,2010,2184,31587,0.0024,031587,BBY,Best Buy Co. Inc.,0000764478,5731,DLTR,Dollar Tree Inc.
19007,003813,2010,3813,2184,0.0103,002184,TGT,Target Corp.,0000027419,5331,BBY,Best Buy Co. Inc.
19009,003813,2010,3813,4016,0.0159,004016,TGT,Target Corp.,0000027419,5331,DG,Dollar General Corp.
19011,003813,2010,3813,6502,0.0517,006502,TGT,Target Corp.,0000027419,5331,KR,Kroger Co.
19014,003813,2010,3813,11259,0.0692,011259,TGT,Target Corp.,0000027419,5331,WMT,Walmart Inc.
19018,004016,2010,4016,2184,0.0309,002184,DG,Dollar General Corp.,0000029534,5331,BBY,Best Buy Co. Inc.
19020,004016,2010,4016,3813,0.0159,003813,DG,Dollar General Corp.,0000029534,5331,TGT,Target Corp.
19034,004016,2010,4016,31587,0.02,031587,DG,Dollar General Corp.,0000029534,5331,DLTR,Dollar Tree Inc.
19058,005680,2010,5680,2184,0.0026,002184,HD,Home Depot Inc.,0000354950,5251,BBY,Best Buy Co. Inc.
19060,005680,2010,5680,6829,0.0593,006829,HD,Home Depot Inc.,0000354950,5251,LOW,Lowes Companies Inc.
19062,006502,2010,6502,3813,0.0517,003813,KR,Kroger Co.,0000056873,5411,TGT,Target Corp.
19069,006502,2010,6502,11259,0.0584,011259,KR,Kroger Co.,0000056873,5411,WMT,Walmart Inc.
19075,006829,2010,6829,5680,0.0593,005680,LOW,Lowes Companies Inc.,0000060667,5251,HD,Home Depot Inc.
19077,006829,2010,6829,31587,0.0307,031587,LOW,Lowes Companies Inc.,0000060667,5251,DLTR,Dollar Tree Inc.
19206,011259,2010,11259,3813,0.0692,003813,WMT,Walmart Inc.,0000104169,5331,TGT,Target Corp.
19209,011259,2010,11259,6502,0.0584,006502,WMT,Walmart Inc.,0000104169,5331,KR,Kroger Co.
19219,011259,2010,11259,11672,0.0098,011672,WMT,Walmart Inc.,0000104169,5331,TJX,TJX Companies Inc.
19226,011259,2010,11259,31587,0.0255,031587,WMT,Walmart Inc.,0000104169,5331,DLTR,Dollar Tree Inc.
19255,011672,2010,11672,11259,0.0098,011259,TJX,TJX Companies Inc.,0000109198,5651,WMT,Walmart Inc.
19322,012141,2010,12141,1690,0.0118,001690,MSFT,Microsoft Corp.,0000789019,7372,AAPL,Apple Inc.
19391,012141,2010,12141,160329,0.03,160329,MSFT,Microsoft Corp.,0000789019,7372,GOOGL,Alphabet Inc.
19412,031587,2010,31587,2184,0.0024,002184,DLTR,Dollar Tree Inc.,0000935703,5331,BBY,Best Buy Co. Inc.
19415,031587,2010,31587,4016,0.02,004016,DLTR,Dollar Tree Inc.,0000935703,5331,DG,Dollar General Corp.
19419,031587,2010,31587,6829,0.0307,006829,DLTR,Dollar Tree Inc.,0000935703,5331,LOW,Lowes Companies Inc.
19421,031587,2010,31587,11259,0.0255,011259,DLTR,Dollar Tree Inc.,0000935703,5331,WMT,Walmart Inc.
19459,064768,2010,64768,160329,0.0275,160329,AMZN,Amazon.com Inc.,0001018724,5961,GOOGL,Alphabet Inc.
19461,160329,2010,160329,12141,0.03,012141,GOOGL,Alphabet Inc.,0001652044,7389,MSFT,Microsoft Corp.
19472,160329,2010,160329,64768,0.0275,064768,GOOGL,Alphabet Inc.,0001652044,7389,AMZN,Amazon.com Inc.
